Title,Discription,Video Link
,,
Python Tutorial: Zip Files ? Creating and Extracting Zip Archives,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Update (2019-09-03),"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Python Quick Tip: The Difference Between ?==? and ?is? (Equality vs Identity),"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Python Tutorial: Calling External Commands Using the Subprocess Module,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Visual Studio Code (Windows) ? Setting up a Python Development Environment and Complete Overview,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Visual Studio Code (Mac) ? Setting up a Python Development Environment and Complete Overview,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
,,
Clarifying the Issues with Mutable Default Arguments,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let?s get started?",https://youtube.com/watch?v=z0gguhEmWiY
